NRT Code,Description,YTD,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEPT,OCT,NOV,DEC
2001,Crown Cut(s)/Puncture(s),2,0,0,0,0,0,0,0,0,0,2,0,0
2604,Overall Tire Condition Not Acc,0,0,0,0,0,0,0,0,0,0,0,0,0
2507,Plies Damaged During Buffing,0,0,0,0,0,0,0,0,0,0,0,0,0
2206,Sidewall Blisters/Bumps,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,Excessive Sidewall Abrasion,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,Sidewall Cut(s)/Snag(s),0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Scrub Induced Belt Separation,1,0,0,0,0,1,0,0,0,0,0,0,0
2102,Worn Too Far,1,0,0,0,0,0,0,0,0,0,0,0,1
2202,Belt Separation (Radial Only),8,1,3,0,2,1,0,0,0,0,0,0,1
2205,Shoulder Separation,2,0,0,0,0,1,0,0,0,0,1,0,0
2300,Outside of Fleet Specifications,4,0,0,2,1,1,0,0,0,0,0,0,0
-,OTHER NRT REASONS,4,2,1,0,0,0,0,1,0,0,0,0,0
,TOTAL,22,3,4,2,3,4,0,1,0,0,3,0,2
