NRT Summary

Run Date,01-14-2022
Only Show Inventory Locations,No
Companies,"SOUTHERN TIRE MART, LLC"
All Plants,Yes
Customer,"P&S Transportation, Inc."
All Locations,Yes
Start Date,2021-11-01
End Date,2021-11-30
Include adjustments,No
Include casing credits,No
Include scraps,Yes
Include NRTs,Yes
Include rejects,Yes
Include Pending RARs,No
Group By 1,
Group By 2,
Group By 3,
Group By 4,
Group By 5,NRT Code
Threshold,None
Sort by percent,No

NRT Code,Description,Total,% of Total
2001,Crown Cut(s)/Puncture(s),1,100.00%
Grand Total,,1,
Total:,***Grand Totals***
